status,id,name,code,spec,img,is_ask,price_max,price_limit,price_reduce,price_after,price_state,price_a_minus,price_b,sort_price,is_capped
掲載,232417,アビスアイ(1BOX),,未開封,https://production-recore-public-files.s3.ap-northeast-1.amazonaws.com/gD28pgFNAqPfjeHRlrrpVwM2eMXSR5VZnpYJI82z.png,False,"¥7,600",-,-,"¥7,600","¥7,200","¥7,200","¥6,800",7600,
掲載,229061,ニンジャスピナー(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/fa7467a1-9e85-4ff7-90e8-d96677ce368f.png,False,"¥8,000",-,-,"¥8,000","¥7,600","¥7,600","¥7,200",8000,
掲載,227504,ムニキスゼロ(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/7f53de36-f70c-41ae-834d-d0d1e95da47c.png,False,"¥7,800",-,-,"¥7,800","¥7,400","¥7,400","¥7,000",7800,
掲載,221113,メガブレイブ(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/ba5e77be-ff21-4e0d-88f2-b23858491e3b.jpg,False,"¥8,500",-,-,"¥8,500","¥8,000","¥8,000","¥7,600",8500,
掲載,221124,メガシンフォニア(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/ebda3235-6e88-4fdd-909e-4ec459f448bd.jpg,False,"¥7,700",-,-,"¥7,700","¥7,300","¥7,300","¥6,900",7700,
掲載,215873,ブラックボルト(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/0b0b1b11-ddaf-46cd-b2f7-8e28270fdaeb.jpg,False,"¥21,300",-,-,"¥21,300","¥20,200","¥20,200","¥19,100",21300,
掲載,215884,ホワイトフレア(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/d4b0ec67-abaa-45cf-8ce7-6f58fcfd7cec.jpg,False,"¥19,900",-,-,"¥19,900","¥18,900","¥18,900","¥17,900",19900,
掲載,215899,拡張パックデラックス ブラックボルト (1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/04d98a77-02c3-4357-ba27-28154bc80c82.jpg,False,"¥21,800",-,-,"¥21,800","¥20,700","¥20,700","¥19,600",21800,
掲載,215900,拡張パックデラックス ホワイトフレア (1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/9fc494b7-a750-46db-91ec-eda3502da4a3.jpg,False,"¥19,900",-,-,"¥19,900","¥18,900","¥18,900","¥17,900",19900,
掲載,214329,ロケット団の栄光,-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/d11ba5d2-4d29-4880-939a-0d61880f3c70.jpg,False,"¥21,300",-,-,"¥21,300","¥20,200","¥20,200","¥19,100",21300,
掲載,213922,熱風のアリーナ,sv9a,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/12c63d6d-e95e-4ceb-8cf9-d9ec2dd45590.jpg,False,"¥17,500",-,-,"¥17,500","¥16,600","¥16,600","¥15,700",17500,
掲載,212841,バトルパートナーズ(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/57898e88-34c7-4120-b8f3-f2e86dc09be7.jpg,False,"¥9,500",-,-,"¥9,500","¥9,000","¥9,000","¥8,500",9500,
掲載,211818,超電ブレイカー(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/66d66e7f-928b-4ba4-b382-9546f2e2d712.jpg,False,"¥28,500",-,-,"¥28,500","¥27,000","¥27,000","¥25,600",28500,
掲載,211621,楽園ドラゴーナ(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/087411e6-effd-4051-9e96-ba05fc92d79b.jpg,False,"¥14,200",-,-,"¥14,200","¥13,400","¥13,400","¥12,700",14200,
