name,change,old_price_a,old_price_a_minus,old_price_rush,new_price_a,new_price_a_minus,new_price_rush
30th CELEBRATION 30周年 セレブレーション(1BOX),価格変動,,"¥26,600",,,"¥28,500",
【シュリンクなし】30th CELEBRATION 30周年 セレブレーション(1BOX),価格変動,,"¥20,400",,,"¥22,800",
30th CELEBRATION FUTURISTIC BOX,価格変動,,"¥71,200",,,"¥66,500",
ストームエメラルダ(1BOX),価格変動,,"¥10,300",,,"¥10,900",
アビスアイ(1BOX),価格変動,,"¥7,600",,,"¥8,000",
ニンジャスピナー(1BOX),価格変動,,"¥7,600",,,"¥8,000",
ムニキスゼロ(1BOX),価格変動,,"¥7,600",,,"¥8,000",
バトルパートナーズ(1BOX),価格変動,,"¥9,400",,,"¥9,800",
バイオレットex(1BOX),価格変動,,"¥9,000",,,"¥9,400",
LIMITED PACK GX －オシリスレッド－(1BOX),価格変動,,"¥12,100",,,"¥12,600",
ドラゴン娘になりたくないっ! 文化祭だョ!全員集合!!ドラ娘100％パック(1BOX),価格変動,,"¥6,800",,,"¥6,700",
逆札篇 第2弾 燃えろ禁断！逆転のドギラゴン革命!! (1BOX),新規,,,,,#VALUE!,
