name,change,old_price_a,old_price_a_minus,old_price_rush,new_price_a,new_price_a_minus,new_price_rush
カイ 【SAR】{236/172}[S12a],価格変動,"¥2,200","¥1,600","¥2,500","¥2,200","¥1,700","¥2,500"
リップ 【SAR】{092/066}[SV4M],価格変動,"¥1,400","¥1,000","¥1,600","¥1,400","¥1,100","¥1,600"
ビワ 【SAR】{096/071}[SV5K],価格変動,"¥2,000","¥1,300","¥2,000","¥1,800","¥1,400","¥2,000"
セイジ 【SAR】{096/071}[SV5M],価格変動,"¥1,000",¥800,"¥1,200","¥1,000",¥750,"¥1,200"
ミカンのまなざし 【SAR】{135/106}[SV8],価格変動,"¥2,200","¥1,600","¥2,500","¥2,100","¥1,600","¥2,500"
ロケット団のアテナ 【SAR】{128/098}[SV10],価格変動,"¥2,100","¥1,600","¥2,400","¥2,400","¥1,500","¥2,400"
ヒカリ 【SAR】{115/080}[M2],価格変動,"¥1,900","¥1,500","¥2,200","¥1,900","¥1,400","¥2,200"
ヒガナの信頼 【SAR】{112/076}[M6],価格変動,"¥1,200",¥750,"¥1,200","¥1,600","¥1,000","¥1,600"
ヒカリ 【SR】{106/080}[M2],価格変動,¥700,¥550,¥800,¥800,¥500,¥800
デオキシスVMAX 【SAR】{222/172}[S12a],価格変動,"¥1,900","¥1,400","¥2,200","¥1,800","¥1,400","¥2,200"
ネオラントV 【SAR】{216/172}[S12a],価格変動,"¥1,600","¥1,000","¥1,600","¥1,400","¥1,100","¥1,600"
ヤバソチャex 【SAR】{089/066}[SV5a],価格変動,"¥1,400","¥1,000","¥1,600","¥1,400","¥1,100","¥1,600"
テツノイサハex 【SAR】{093/071}[SV5M],価格変動,"¥2,500","¥1,600","¥2,500","¥2,200","¥1,700","¥2,500"
オーガポンいしずえのめんex 【SAR】{128/101}[SV6],価格変動,"¥1,200",¥750,"¥1,200","¥1,000",¥800,"¥1,200"
イイネイヌex 【SAR】{087/064}[SV6a],価格変動,"¥1,000",¥800,"¥1,200","¥1,200",¥750,"¥1,200"
モモワロウex 【SAR】{090/064}[SV6a],価格変動,"¥2,000","¥1,300","¥2,000","¥1,800","¥1,400","¥2,000"
メロエッタex 【SAR】{170/086}[SV11B],価格変動,"¥2,100","¥1,600","¥2,400","¥2,100","¥1,500","¥2,400"
ブルンゲルex 【SAR】{170/086}[SV11W],価格変動,"¥2,200","¥1,600","¥2,500","¥2,200","¥1,700","¥2,500"
ナンジャモのハラバリーex 【SAR】{236/193}[M2a],価格変動,"¥2,500","¥1,600","¥2,500","¥2,600","¥1,700","¥2,500"
メガジガルデex 【SAR】{113/080}[M3],価格変動,"¥2,200","¥1,700","¥2,500","¥2,200","¥1,600","¥2,500"
メガレックウザex 【SAR】{110/076}[M6],価格変動,"¥27,000","¥21,000","¥30,000","¥37,000","¥24,000","¥37,000"
ライコウex 【SAR】{108/076}[M6],価格変動,"¥3,100","¥2,400","¥3,500","¥4,000","¥2,600","¥4,000"
ミュウ 【AR】{183/172}[S12a],価格変動,"¥3,100","¥2,400","¥3,500","¥3,100","¥2,200","¥3,500"
ピカチュウ 【AR】{173/165}[SV2a],価格変動,"¥3,000","¥1,900","¥3,000","¥3,100","¥2,100","¥3,000"
ヒトカゲ 【AR】{168/165}[SV2a],価格変動,"¥3,000","¥1,900","¥3,000","¥3,100","¥2,100","¥3,000"
フシギダネ 【AR】{166/165}[SV2a],価格変動,"¥1,800","¥1,400","¥2,000","¥2,000","¥1,300","¥2,000"
ミュウツー 【AR】{183/165}[SV2a],価格変動,"¥2,200","¥1,600","¥2,500","¥2,600","¥1,700","¥2,500"
ライチュウ 【AR】{074/071}[SV2D],価格変動,"¥1,800","¥1,100","¥1,700","¥1,500","¥1,100","¥1,700"
ウソッキー 【AR】{080/071}[SV2P],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
セビエ 【AR】{075/071}[SV2P],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
キュウコン 【AR】{110/108}[SV3],価格変動,"¥1,300",¥900,"¥1,300","¥1,100",¥800,"¥1,300"
グルトン 【AR】{120/108}[SV3],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
アラブルタケ 【AR】{077/066}[SV4K],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
モルペコ 【AR】{076/066}[SV4K],価格変動,"¥1,100",¥800,"¥1,300","¥1,100",¥900,"¥1,300"
バニリッチ 【AR】{070/066}[SV4M],価格変動,¥450,¥350,¥500,¥450,¥300,¥500
イーブイ 【AR】{078/066}[SV5a],価格変動,"¥2,500","¥1,600","¥2,500","¥2,600","¥1,700","¥2,500"
カイロス 【AR】{067/066}[SV5a],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
ユキハミ 【AR】{073/071}[SV5K],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
ベロリンガ 【AR】{082/071}[SV5M],価格変動,¥600,¥350,¥600,¥500,¥400,¥600
Nのゾロア 【AR】{108/100}[SV9],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
カスミのラプラス 【AR】{072/063}[SV9a],価格変動,"¥2,200","¥1,800","¥2,700","¥2,700","¥1,700","¥2,700"
ヒビキのバクフーン 【AR】{070/063}[SV9a],価格変動,"¥2,000","¥1,000","¥1,500","¥1,500",¥950,"¥1,500"
イシズマイ 【AR】{135/086}[SV11B],価格変動,"¥1,300",¥800,"¥1,300","¥1,100",¥900,"¥1,300"
オタマロ 【AR】{107/086}[SV11B],価格変動,¥500,¥300,¥500,¥450,¥350,¥500
ケンホロウ 【AR】{155/086}[SV11B],価格変動,¥500,¥400,¥600,¥500,¥350,¥600
ゴビット 【AR】{128/086}[SV11B],価格変動,¥500,¥300,¥500,¥450,¥350,¥500
チラチーノ 【AR】{158/086}[SV11B],価格変動,"¥1,300",¥800,"¥1,300","¥1,100",¥900,"¥1,300"
ナゲキ 【AR】{134/086}[SV11B],価格変動,¥450,¥300,¥500,¥450,¥350,¥500
フリージオ 【AR】{115/086}[SV11B],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
マラカッチ 【AR】{093/086}[SV11B],価格変動,¥450,¥350,¥500,¥500,¥300,¥500
アイアント 【AR】{149/086}[SV11W],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
エンブオー 【AR】{098/086}[SV11W],価格変動,¥700,¥450,¥700,¥600,¥450,¥700
ギギアル 【AR】{147/086}[SV11W],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
シママ 【AR】{111/086}[SV11W],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
ダゲキ 【AR】{128/086}[SV11W],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
ダンゴロ 【AR】{125/086}[SV11W],価格変動,¥450,¥300,¥500,¥450,¥350,¥500
ミネズミ 【AR】{151/086}[SV11W],価格変動,¥450,¥300,¥500,¥450,¥350,¥500
